Vehicle ID,Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Fuel Type 1,Fuel Type 2,City MPG,Highway MPG,Combined MPG,Annual Fuel Cost,Fuel Economy Score,Gasoline/Electricity Blended
38409,2017,Lamborghini,Aventador Coupe LP740-4,Two Seaters,All-Wheel Drive,Auto(AM-S7),12,6.5,,,Premium,Premium Gasoline,,10,16,12,3500,1,FALSE
38410,2017,Dodge,Challenger,Midsize Cars,Rear-Wheel Drive,Manual 6-Speed,8,6.4,,,Premium,Premium Gasoline,,14,23,17,2500,3,FALSE
38411,2017,Dodge,Challenger SRT,Midsize Cars,Rear-Wheel Drive,Manual 6-Speed,8,6.4,,,Premium,Premium Gasoline,,14,23,17,2500,3,FALSE
38412,2017,Volvo,V90 CC AWD,Midsize Station Wagons,All-Wheel Drive,Automatic (S8),4,2,,,Premium,Premium Gasoline,,22,30,25,1700,5,FALSE
38413,2017,Lincoln,MKT Livery AWD,Special Purpose Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.7,,,Regular,Regular Gasoline,,16,23,18,1950,3,FALSE
38414,2017,Toyota,Highlander,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.7,,,Regular,Regular Gasoline,,20,24,22,1600,5,FALSE
38415,2017,Toyota,Highlander LE/XLE/SE/LTD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,21,27,23,1500,5,FALSE
38416,2017,Toyota,Highlander,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,20,27,23,1500,5,FALSE
38417,2017,Mercedes-Benz,AMG GLC43 4matic,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 9-Speed,6,3,T,,Premium,Premium Gasoline,,18,24,20,2100,4,FALSE
38418,2017,Ford,Flex FWD,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.5,,,Regular,Regular Gasoline,,16,23,19,1850,4,FALSE
38419,2017,Lincoln,MKT FWD,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),6,3.7,,,Regular,Regular Gasoline,,16,24,19,1850,4,FALSE
38420,2017,Ford,Flex AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,,,Regular,Regular Gasoline,,16,22,18,1950,3,FALSE
38421,2017,Ford,Flex AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,T,,Regular,Regular Gasoline,,15,21,17,2050,3,FALSE
38422,2017,Lincoln,MKT AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S6),6,3.5,T,,Regular,Regular Gasoline,,15,21,17,2050,3,FALSE
38423,2017,Toyota,Highlander AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,20,26,22,1600,5,FALSE
38424,2017,Toyota,Highlander AWD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,19,26,22,1600,5,FALSE
38425,2017,Toyota,Highlander Hybrid 4WD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S6),6,3.5,,,Regular,Regular Gasoline,,29,27,28,1250,6,FALSE
38426,2017,Toyota,Highlander Hybrid 4WD LE Plus,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S6),6,3.5,,,Regular,Regular Gasoline,,30,28,29,1200,7,FALSE
38427,2017,Toyota,Highlander AWD LE,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3.5,,,Regular,Regular Gasoline,,20,27,23,1500,5,FALSE
38428,2017,Nissan,Leaf,Midsize Cars,Front-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,124,101,112,600,10,FALSE
38429,2017,BMW,328d,Compact Cars,Rear-Wheel Drive,Automatic (S8),4,2,T,,Diesel,Diesel,,31,43,36,1050,8,FALSE
38430,2017,MINI,John Cooper Works Clubman All4,Midsize Cars,All-Wheel Drive,Manual 6-Speed,4,2,T,,Premium,Premium Gasoline,,21,31,24,1750,5,FALSE
38431,2017,Hyundai,Ioniq Electric,Midsize Cars,Front-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,150,122,136,500,10,FALSE
38432,2017,Porsche,911 Carrera GTS,Minicompact Cars,Rear-Wheel Drive,Manual 7-Speed,6,3,T,,Premium,Premium Gasoline,,18,26,21,2000,4,FALSE
38433,2017,Porsche,911 Carrera GTS,Minicompact Cars,Rear-Wheel Drive,Auto(AM-S7),6,3,T,,Premium,Premium Gasoline,,20,26,23,1850,5,FALSE
38434,2017,Porsche,911 Carrera GTS Cabriolet,Minicompact Cars,Rear-Wheel Drive,Manual 7-Speed,6,3,T,,Premium,Premium Gasoline,,18,26,21,2000,4,FALSE
38435,2017,Porsche,911 Carrera GTS Cabriolet,Minicompact Cars,Rear-Wheel Drive,Auto(AM-S7),6,3,T,,Premium,Premium Gasoline,,20,26,22,1900,5,FALSE
38436,2017,Porsche,911 Carrera 4 GTS,Minicompact Cars,4-Wheel Drive,Manual 7-Speed,6,3,T,,Premium,Premium Gasoline,,18,26,21,2000,4,FALSE
38437,2017,Porsche,911 Carrera 4 GTS,Minicompact Cars,4-Wheel Drive,Auto(AM-S7),6,3,T,,Premium,Premium Gasoline,,20,26,22,1900,5,FALSE
38438,2017,Porsche,911 Carrera 4 GTS Cabriolet,Minicompact Cars,4-Wheel Drive,Manual 7-Speed,6,3,T,,Premium,Premium Gasoline,,18,26,21,2000,4,FALSE
38439,2017,Porsche,911 Carrera 4 GTS Cabriolet,Minicompact Cars,4-Wheel Drive,Auto(AM-S7),6,3,T,,Premium,Premium Gasoline,,20,25,22,1900,5,FALSE
38440,2017,Porsche,911 Targa 4 GTS,Minicompact Cars,4-Wheel Drive,Manual 7-Speed,6,3,T,,Premium,Premium Gasoline,,18,26,21,2000,4,FALSE
38441,2017,Porsche,911 Targa 4 GTS,Minicompact Cars,4-Wheel Drive,Auto(AM-S7),6,3,T,,Premium,Premium Gasoline,,20,26,22,1900,5,FALSE
38442,2017,Chevrolet,Spark ACTIV,Subcompact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.4,,,Regular,Regular Gasoline,,30,37,33,1050,8,FALSE
38443,2017,Chevrolet,Spark ACTIV,Subcompact Cars,Front-Wheel Drive,Manual 5-Speed,4,1.4,,,Regular,Regular Gasoline,,29,37,32,1100,7,FALSE
38444,2017,Chrysler,300 AWD,Large Cars,All-Wheel Drive,Automatic 8-Speed,6,3.6,,,Gasoline or E85,Regular Gasoline,E85,18,27,21,1650,4,FALSE
38445,2017,Dodge,Charger AWD,Large Cars,All-Wheel Drive,Automatic 8-Speed,6,3.6,,,Gasoline or E85,Regular Gasoline,E85,18,27,21,1650,4,FALSE
38446,2017,Honda,Pilot FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S9),6,3.5,,,Regular,Regular Gasoline,,20,27,23,1500,5,FALSE
38447,2017,Honda,Pilot FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.5,,,Regular,Regular Gasoline,,19,27,22,1600,5,FALSE
38448,2017,Honda,CR-V FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (variable gear ratios),4,2.4,,,Regular,Regular Gasoline,,26,32,28,1250,6,FALSE
38449,2017,Honda,CR-V FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,T,,Regular,Regular Gasoline,,28,34,30,1150,7,FALSE
38450,2017,Honda,Pilot AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S9),6,3.5,,,Regular,Regular Gasoline,,19,26,22,1600,5,FALSE
38451,2017,Honda,Pilot AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 6-Speed,6,3.5,,,Regular,Regular Gasoline,,18,26,21,1650,4,FALSE
38452,2017,Honda,CR-V AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (variable gear ratios),4,2.4,,,Regular,Regular Gasoline,,25,31,27,1300,6,FALSE
38453,2017,Honda,CR-V AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (variable gear ratios),4,1.5,T,,Regular,Regular Gasoline,,27,33,29,1200,7,FALSE
38454,2017,Mercedes-Benz,GLC300 4matic Coupe,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S9),4,2,T,,Premium,Premium Gasoline,,22,27,24,1750,5,FALSE
38455,2017,Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),8,5,,S,Premium,Premium Gasoline,,14,19,16,2650,2,FALSE
38456,2017,Land Rover,Range Rover LWB,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),8,5,,S,Premium,Premium Gasoline,,14,19,16,2650,2,FALSE
38457,2017,Land Rover,Range Rover Sport,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),8,5,,S,Premium,Premium Gasoline,,14,19,16,2650,2,FALSE
38458,2017,Mercedes-Benz,G550,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 7-Speed,8,4,T,,Premium,Premium Gasoline,,13,14,13,3250,1,FALSE
38459,2017,Mercedes-Benz,GLE550e 4matic,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 7-Speed,6,3,T,,Premium and Electricity,Premium Gasoline,Electricity,20,23,21,2000,5,TRUE
38460,2017,Mercedes-Benz,S550e,Large Cars,Rear-Wheel Drive,Automatic 7-Speed,6,3,T,,Premium and Electricity,Premium Gasoline,Electricity,24,30,26,1650,7,TRUE
38461,2017,smart,fortwo coupe,Two Seaters,Rear-Wheel Drive,Auto(AM6),3,0.9,T,,Premium,Premium Gasoline,,33,39,35,1200,8,FALSE
38462,2017,smart,fortwo coupe,Two Seaters,Rear-Wheel Drive,Manual 5-Speed,3,0.9,T,,Premium,Premium Gasoline,,31,39,34,1250,8,FALSE
38463,2017,BMW,230i Coupe,Subcompact Cars,Rear-Wheel Drive,Automatic (S8),4,2,T,,Premium,Premium Gasoline,,24,35,28,1500,6,FALSE
38464,2017,Ford,Fiesta FWD,Subcompact Cars,Front-Wheel Drive,Auto(AM-S6),4,1.6,,,Regular,Regular Gasoline,,27,37,31,1150,7,FALSE
38465,2017,Ford,Fiesta FWD,Subcompact Cars,Front-Wheel Drive,Manual 5-Speed,4,1.6,,,Regular,Regular Gasoline,,27,35,30,1150,7,FALSE
38466,2017,Ford,Fiesta SFE FWD,Subcompact Cars,Front-Wheel Drive,Manual 5-Speed,3,1,T,,Regular,Regular Gasoline,,31,41,35,1000,8,FALSE
38467,2017,Audi,A4 quattro,Compact Cars,All-Wheel Drive,Manual 6-Speed,4,2,T,,Premium,Premium Gasoline,,24,33,27,1550,6,FALSE
38468,2017,Ford,Fiesta ST FWD,Compact Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,T,,Regular,Regular Gasoline,,26,33,29,1200,7,FALSE
38469,2017,Ford,Focus FWD,Compact Cars,Front-Wheel Drive,Automatic (S6),3,1,T,,Regular,Regular Gasoline,,27,38,31,1150,7,FALSE
38470,2017,Ford,Focus FWD,Compact Cars,Front-Wheel Drive,Manual 6-Speed,3,1,T,,Regular,Regular Gasoline,,30,40,34,1050,8,FALSE
38471,2017,Ford,Focus FWD,Compact Cars,Front-Wheel Drive,Auto(AM6),4,2,,,Regular,Regular Gasoline,,26,38,31,1150,7,FALSE
38472,2017,Ford,Focus FWD,Compact Cars,Front-Wheel Drive,Auto(AM-S6),4,2,,,Regular,Regular Gasoline,,26,36,29,1200,7,FALSE
38473,2017,Ford,Focus FWD,Compact Cars,Front-Wheel Drive,Manual 5-Speed,4,2,,,Regular,Regular Gasoline,,25,34,28,1250,6,FALSE
38474,2017,Ford,Focus FWD FFV,Compact Cars,Front-Wheel Drive,Auto(AM6),4,2,,,Gasoline or E85,Regular Gasoline,E85,26,38,31,1150,7,FALSE
38475,2017,Ford,Focus FWD FFV,Compact Cars,Front-Wheel Drive,Auto(AM-S6),4,2,,,Gasoline or E85,Regular Gasoline,E85,26,36,29,1200,7,FALSE
38476,2017,Ford,Focus FWD FFV,Compact Cars,Front-Wheel Drive,Manual 5-Speed,4,2,,,Gasoline or E85,Regular Gasoline,E85,25,34,28,1250,6,FALSE
38477,2017,Ford,Focus ST FWD,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,2,T,,Regular,Regular Gasoline,,22,30,25,1400,5,FALSE
38478,2017,Ford,Taurus FWD,Large Cars,Front-Wheel Drive,Automatic (S6),4,2,T,,Regular,Regular Gasoline,,20,29,23,1500,5,FALSE
38479,2017,Ford,Taurus AWD FFV,Large Cars,All-Wheel Drive,Automatic (S6),6,3.5,,,Gasoline or E85,Regular Gasoline,E85,17,24,19,1850,4,FALSE
38480,2017,Ford,Taurus FWD FFV,Large Cars,Front-Wheel Drive,Automatic (S6),6,3.5,,,Gasoline or E85,Regular Gasoline,E85,18,27,21,1650,4,FALSE
38481,2017,Ford,Taurus AWD,Large Cars,All-Wheel Drive,Automatic (S6),6,3.5,,,Regular,Regular Gasoline,,17,24,19,1850,4,FALSE
38482,2017,Ford,Taurus FWD,Large Cars,Front-Wheel Drive,Automatic (S6),6,3.5,,,Regular,Regular Gasoline,,18,27,21,1650,4,FALSE
38483,2017,Ford,Taurus AWD,Large Cars,All-Wheel Drive,Automatic (S6),6,3.5,T,,Regular,Regular Gasoline,,16,24,19,1850,4,FALSE
38484,2017,Hyundai,Ioniq,Large Cars,Front-Wheel Drive,Auto(AM6),4,1.6,,,Regular,Regular Gasoline,,55,54,55,650,10,FALSE
38485,2017,Hyundai,Ioniq Blue,Large Cars,Front-Wheel Drive,Auto(AM6),4,1.6,,,Regular,Regular Gasoline,,57,59,58,600,10,FALSE
38486,2017,Kia,Niro,Small Station Wagons,Front-Wheel Drive,Auto(AM6),4,1.6,,,Regular,Regular Gasoline,,51,46,49,700,10,FALSE
38487,2017,Nissan,Quest,Minivan - 2WD,Front-Wheel Drive,Automatic (variable gear ratios),6,3.5,,,Regular,Regular Gasoline,,20,27,22,1600,5,FALSE
38488,2017,Mazda,CX-9 2WD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Automatic (S6),4,2.5,T,,Regular,Regular Gasoline,,22,28,24,1450,5,FALSE
38489,2017,Mazda,CX-9 4WD,Small Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S6),4,2.5,T,,Regular,Regular Gasoline,,20,26,23,1500,5,FALSE
38490,2017,BMW,X5 xDrive 35d,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3,T,,Diesel,Diesel,,23,29,25,1550,5,FALSE
38491,2017,Chrysler,Pacifica Plug-in Hybrid,Minivan - 2WD,Front-Wheel Drive,Automatic (variable gear ratios),6,3.6,,,Regular Gas and Electricity,Regular Gasoline,Electricity,32,33,32,1100,10,TRUE
38492,2016,Volkswagen,Beetle Dune Convertible,Subcompact Cars,Front-Wheel Drive,Automatic (S6),4,1.8,T,,Regular,Regular Gasoline,,24,31,27,1300,6,FALSE
38493,2017,Chrysler,300,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,,,Gasoline or E85,Regular Gasoline,E85,19,30,23,1500,5,FALSE
38494,2017,Dodge,Charger,Large Cars,Rear-Wheel Drive,Automatic 8-Speed,6,3.6,,,Gasoline or E85,Regular Gasoline,E85,19,30,23,1500,5,FALSE
38495,2017,Ford,C-MAX Hybrid FWD,Large Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2,,,Regular,Regular Gasoline,,42,38,40,850,9,FALSE
38496,2017,Kia,Niro Touring,Small Station Wagons,Front-Wheel Drive,Auto(AM6),4,1.6,,,Regular,Regular Gasoline,,46,40,43,800,9,FALSE
38497,2017,Kia,Niro FE,Small Station Wagons,Front-Wheel Drive,Auto(AM6),4,1.6,,,Regular,Regular Gasoline,,52,49,50,700,10,FALSE
38498,2017,Porsche,Macan Turbo Kit,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AM-S7),6,3.6,T,,Premium,Premium Gasoline,,17,23,19,2250,4,FALSE
38499,2016,Mercedes-Benz,C350e,Compact Cars,Rear-Wheel Drive,Automatic 7-Speed,4,2,T,,Premium and Electricity,Premium Gasoline,Electricity,28,32,30,1400,8,TRUE
38500,2016,Tesla,Model X AWD - P100D,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,81,92,86,750,10,FALSE
38501,2017,MINI,Cooper Countryman All4,Midsize Cars,All-Wheel Drive,Manual 6-Speed,4,1.5,T,,Premium,Premium Gasoline,,22,32,26,1650,6,FALSE
38502,2017,BMW,M760i xDrive,Large Cars,All-Wheel Drive,Automatic (S8),12,6.6,T,,Premium,Premium Gasoline,,13,20,16,2650,2,FALSE
38503,2017,Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3,,S,Premium,Premium Gasoline,,17,23,19,2250,4,FALSE
38504,2017,Land Rover,Range Rover Sport,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3,,S,Premium,Premium Gasoline,,17,23,19,2250,4,FALSE
38505,2017,Ford,Focus Electric,Compact Cars,Front-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,118,96,107,600,10,FALSE
38506,2017,Ford,C-MAX Energi Plug-In Hybrid,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2,,,Regular Gas and Electricity,Regular Gasoline,Electricity,41,38,39,900,10,TRUE
38507,2017,Ford,GT,Two Seaters,Rear-Wheel Drive,Auto(AM7),6,3.5,T,,Premium,Premium Gasoline,,11,18,14,3000,1,FALSE
38508,2017,Toyota,Prius c,Compact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,,,Regular,Regular Gasoline,,48,43,46,750,10,FALSE
38509,2017,Honda,Odyssey,Minivan - 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.5,,,Regular,Regular Gasoline,,19,27,22,1600,5,FALSE
38510,2017,Nissan,Rogue Hybrid  FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Auto(AV-S7),4,2,,,Regular,Regular Gasoline,,33,35,34,1050,8,FALSE
38511,2017,Nissan,Rogue Hybrid  AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S7),4,2,,,Regular,Regular Gasoline,,31,34,33,1050,8,FALSE
38512,2017,Toyota,4Runner 2WD,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic (S5),6,4,,,Regular,Regular Gasoline,,17,21,18,1950,3,FALSE
38513,2017,Toyota,4Runner 4WD,Standard Sport Utility Vehicle 4WD,Part-time 4-Wheel Drive,Automatic (S5),6,4,,,Regular,Regular Gasoline,,17,20,18,1950,3,FALSE
38514,2017,Toyota,4Runner 4WD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S5),6,4,,,Regular,Regular Gasoline,,17,20,18,1950,3,FALSE
38515,2017,Alfa Romeo,Giulia,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,4,2,T,,Premium,Premium Gasoline,,24,33,27,1550,6,FALSE
38516,2017,Alfa Romeo,Giulia AWD,Midsize Cars,All-Wheel Drive,Automatic 8-Speed,4,2,T,,Premium,Premium Gasoline,,23,31,26,1650,6,FALSE
38517,2017,Nissan,Sentra Nismo,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,T,,Premium,Premium Gasoline,,25,31,27,1550,6,FALSE
38518,2017,Nissan,Sentra Nismo,Midsize Cars,Front-Wheel Drive,Auto(AV-S7),4,1.6,T,,Premium,Premium Gasoline,,25,30,27,1550,6,FALSE
38519,2017,Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3,T,,Diesel,Diesel,,22,28,24,1600,5,FALSE
38520,2017,Land Rover,Range Rover Sport,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3,T,,Diesel,Diesel,,22,28,24,1600,5,FALSE
38521,2017,Volkswagen,Golf Alltrack,Small Station Wagons,All-Wheel Drive,Manual 6-Speed,4,1.8,T,,Regular,Regular Gasoline,,22,32,26,1350,6,FALSE
38522,2017,Volkswagen,Golf SportWagen 4motion,Small Station Wagons,All-Wheel Drive,Manual 6-Speed,4,1.8,T,,Regular,Regular Gasoline,,22,32,26,1350,6,FALSE
38523,2017,Tesla,Model S AWD - 60D,Large Cars,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,101,107,104,600,10,FALSE
38524,2017,Tesla,Model S AWD - 75D,Large Cars,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,102,105,103,650,10,FALSE
38525,2017,Tesla,Model S AWD - P100D,Large Cars,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,92,105,98,700,10,FALSE
38526,2017,Tesla,Model X AWD - 60D,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,91,94,93,700,10,FALSE
38527,2017,Tesla,Model X AWD - 75D,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,91,95,93,700,10,FALSE
38528,2017,Tesla,Model X AWD - 90D,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,90,94,92,700,10,FALSE
38529,2017,Tesla,Model X AWD - P90D,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,89,90,89,750,10,FALSE
38530,2017,Tesla,Model X AWD - P100D,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,81,92,86,750,10,FALSE
38531,2017,Toyota,Prius Prime,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.8,,,Regular Gas and Electricity,Regular Gasoline,Electricity,55,53,54,650,10,TRUE
38532,2017,Chevrolet,Camaro,Subcompact Cars,Rear-Wheel Drive,Automatic (S10),8,6.2,,S,Premium,Premium Gasoline,,12,20,15,2800,2,FALSE
38533,2017,Dodge,Challenger GT,Midsize Cars,All-Wheel Drive,Automatic 8-Speed,6,3.6,,,Regular,Regular Gasoline,,18,27,21,1650,4,FALSE
38534,2017,Jeep,New Compass 4WD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic 9-Speed,4,2.4,,,Regular,Regular Gasoline,,22,30,25,1400,5,FALSE
38535,2017,Mercedes-Benz,AMG GLE43 4matic,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 9-Speed,6,3,T,,Premium,Premium Gasoline,,17,23,20,2100,4,FALSE
38536,2017,Mercedes-Benz,G550,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic 7-Speed,8,4,T,,Premium,Premium Gasoline,,11,11,11,3850,1,FALSE
38537,2017,Tesla,Model S AWD - P90D,Large Cars,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,92,100,95,700,10,FALSE
38538,2017,Subaru,Impreza 4-Door,Midsize Cars,All-Wheel Drive,Manual 5-Speed,4,2,,,Regular,Regular Gasoline,,24,32,27,1300,6,FALSE
38539,2017,Subaru,Impreza Sport 4-Door,Midsize Cars,All-Wheel Drive,Manual 5-Speed,4,2,,,Regular,Regular Gasoline,,23,31,26,1350,6,FALSE
38540,2017,Subaru,Impreza 5-Door,Small Station Wagons,All-Wheel Drive,Manual 5-Speed,4,2,,,Regular,Regular Gasoline,,24,31,26,1350,6,FALSE
38541,2017,Subaru,Impreza Sport 5-Door,Small Station Wagons,All-Wheel Drive,Manual 5-Speed,4,2,,,Regular,Regular Gasoline,,22,30,25,1400,5,FALSE
38542,2017,Chrysler,Pacifica,Minivan - 2WD,Front-Wheel Drive,Automatic 9-Speed,6,3.6,,,Regular,Regular Gasoline,,19,28,22,1600,5,FALSE
